Gemeente;GemeenteCode;VVD;CDA;PVV;D66;SP;GROENLINKS;PvdA;CU;50PLUS;PvdD;SGP;FvD;DENK;VNL;Piratenpartij;NIEUWE WEGEN;OndernemersPartij;Artikel 1;Lokaal in de Kamer;Niet Stemmers;De Burger Beweging;GeenPeil;Vrijzinnige Partij;JEZUS LEEFT;Libertarische Partij (LP);MenS en Spirit / Basisinkomen Partij / V-R;StemNL;Vrije Democratische Partij (VDP);;
Appingedam;0003;889;1033;1095;605;1431;559;673;317;270;161;24;98;85;19;13;10;13;6;16;6;6;0;0;;1;;;;;
Bedum;0005;854;1446;503;682;885;664;546;828;138;186;97;85;0;12;20;6;9;0;10;4;5;1;0;;0;;;;;
Bellingwedde;0007;821;555;1123;402;1069;411;551;163;223;271;16;119;1;9;24;12;11;1;6;3;3;1;1;;1;;;;;
De Marne;1663;864;1105;828;457;902;574;542;521;172;269;81;97;1;21;14;7;14;0;1;4;0;1;2;;1;;;;;
Delfzijl;0010;1975;2080;2401;1190;2540;1028;1322;797;723;345;86;235;268;58;55;14;19;9;13;13;8;8;3;;4;;;;;
Eemsmond;1651;1259;1731;1124;738;1667;763;960;1018;272;316;140;122;1;32;26;9;13;5;10;10;4;5;0;;1;;;;;
Groningen;0014;17696;8621;8723;25973;14152;24642;10438;5757;2181;6737;453;2220;501;280;953;137;133;210;81;119;82;72;45;;33;;;;;
Grootegast;0015;1063;2052;867;497;781;413;342;809;185;132;175;144;1;28;20;9;16;0;5;7;4;1;3;;0;;;;;
Haren;0017;2946;1526;656;2301;854;1863;1165;766;241;564;75;196;8;26;34;20;14;7;17;6;2;15;8;;3;;;;;
Hoogezand-Sappemeer;0018;2832;1788;3050;1713;3753;1808;1907;820;900;576;73;300;497;66;65;26;27;13;36;15;11;9;5;;3;;;;;
Leek;0022;2145;1969;1372;1234;1478;1090;994;1045;391;297;143;201;21;30;36;14;18;3;15;11;6;4;8;;3;;;;;
Loppersum;0024;693;1303;551;534;946;723;519;625;186;232;120;58;2;21;27;7;9;1;11;6;3;0;0;;1;;;;;
Marum;0025;1264;1189;945;538;767;429;464;394;217;156;73;114;1;24;18;10;14;3;9;7;3;2;2;;4;;;;;
Menterwolde;1987;1041;721;1376;632;1581;559;689;272;356;228;31;129;9;21;25;7;14;4;18;4;7;1;1;;1;;;;;
Oldambt;1895;3260;2412;4525;1837;4682;1715;2211;849;952;666;113;440;12;75;75;29;30;4;21;15;9;9;9;;6;;;;;
Pekela;0765;765;744;1791;372;1779;417;614;206;269;163;50;106;15;29;23;10;14;1;11;11;8;1;2;;3;;;;;
Slochteren;0040;1590;1250;1088;921;1314;782;777;881;297;269;122;135;3;27;27;12;33;1;6;4;6;3;0;;2;;;;;
Stadskanaal;0037;2310;3318;3150;1218;3250;990;1461;1865;742;345;279;345;7;53;54;17;28;3;32;18;13;6;3;;3;;;;;
Ten Boer;0009;532;852;395;416;643;527;409;595;129;145;96;59;1;11;22;1;5;1;10;3;2;0;0;;0;;;;;
Veendam;0047;2380;1702;2831;1561;3252;1183;1591;509;665;432;68;335;314;48;49;8;22;6;51;17;10;6;12;;6;;;;;
Vlagtwedde;0048;1492;1591;1887;662;1650;563;753;322;452;309;83;164;2;37;21;35;21;1;16;7;4;4;2;;5;;;;;
Winsum;0053;1080;1579;585;875;1064;1128;984;861;208;348;107;110;0;26;37;13;7;4;17;7;9;0;2;;0;;;;;
Zuidhorn;0056;1726;2322;823;1316;1203;1236;902;1887;220;304;266;130;5;32;28;13;12;9;7;8;5;4;6;;1;;;;;
Achtkarspelen;0059;2013;4106;2872;903;1948;788;1085;1767;487;282;277;348;5;44;29;39;21;;18;;11;3;3;;5;;;;;
