NAAM;Provincie;KML;Lat;Lon
Aa en Hunze;Drenthe;<MultiGeometry><Polygon><coordinates>6.81394482119469,53.070971596018 6.86128752252716,53.0408740301848 6.93568488110683,52.9933525581824 6.84191645273429,52.9786465563131 6.83771642256728,52.9776778773585 6.79931951409088,52.9658395150244 6.78875908031153,52.96277467975 6.72771186740844,52.9547197739066 6.73142251475762,52.9375550419958 6.72417526763535,52.9372875899199 6.72634732621292,52.9274086267234 6.7270018123736,52.9158882254841 6.72826243780924,52.9068653461521 6.73633714749192,52.8786912994511 6.71456399687148,52.868158827404 6.68637401311022,52.8753308035417 6.68091397708469,52.8903263284038 6.67498582458435,52.9050172171138 6.66673392645896,52.909449384064 6.6417057382425,52.9120006891804 6.62545022971479,52.9128105160573 6.61482497016343,52.9183265567925 6.58582805490237,52.9194519316233 6.57526175918704,52.9317069164917 6.56507137020177,52.9449807810385 6.56150487612538,52.9466521317106 6.56285657474368,52.9493413199096 6.56736783656601,52.9525767786748 6.56991587788608,52.9577999691885 6.58126539192929,52.9674490732759 6.59604355321597,52.9726580007932 6.59639480244082,52.9792002790238 6.60351627863129,52.9826337237865 6.60734524777982,52.9872548747993 6.60750512433265,52.9946361508245 6.61015314204733,52.9972408209146 6.61595990917666,53.0081540460812 6.62201404548102,53.0101111232868 6.6222997426683,53.0126099255068 6.62970409259486,53.0155170112524 6.63264625657936,53.0220360861779 6.62986658758686,53.0232608965221 6.63122150387808,53.0261052529995 6.64859338034988,53.0263325391644 6.64465335155918,53.0393610307553 6.64157635841674,53.0409177995477 6.64229098368159,53.0457988090872 6.64677838850831,53.0503355491455 6.65401731584896,53.0556070864865 6.66109084730054,53.0559328578959 6.66692038115436,53.0582626260445 6.66452605699305,53.0615899181047 6.66940813480316,53.0639128725881 6.67048835606059,53.0666557865273 6.66553309860989,53.0683633702393 6.65381634852336,53.0801296087831 6.64885513983889,53.0821886121771 6.6577742758371,53.0840302710791 6.66183620521299,53.0819853110566 6.67548435552132,53.0783922462593 6.68751555614501,53.0722155781583 6.69244822766618,53.0703837225702 6.69901474401339,53.0651735781598 6.71143304874176,53.0701130314672 6.71368726617199,53.0686969302434 6.72613857859136,53.0736659268365 6.73365594798535,53.0755151225998 6.75026751892895,53.0819412427592 6.74510829149247,53.0846900680727 6.74877254634931,53.0868398450042 6.7765094506827,53.0947606761844 6.81394482119469,53.070971596018</coordinates></Polygon></MultiGeometry>;52,99299744;6,727262255
Aalsmeer;Noord-Holland;<MultiGeometry><Polygon><coordinates>4.79469736599488,52.2606817589009 4.79508540510327,52.2602560937864 4.77086675499684,52.2499088880077 4.76827195789284,52.2476984769207 4.76850470945332,52.2446885053649 4.77327158817407,52.2410340190226 4.72376446703217,52.2165736522579 4.72292401665831,52.2209773707461 4.72431963560443,52.2319628712766 4.70371430339728,52.2337891914099 4.69624417287271,52.2321092750154 4.68730946669418,52.2271047330263 4.67669908999502,52.2259255204609 4.67034815429832,52.2307557855631 4.67638933443123,52.2339548501127 4.68170949573924,52.2393180310049 4.69271367188143,52.242719696133 4.7003724057511,52.2439666913342 4.70514449584482,52.2466466139629 4.7129321794426,52.2551453959158 4.72096902058694,52.2589064598481 4.72516424624936,52.2628830929393 4.72979551142729,52.2651629939595 4.7397202318002,52.2678100451819 4.74654774957392,52.2721967876849 4.76401253088556,52.2764176992055 4.78011391913847,52.2832445353915 4.78834146391418,52.2885309447338 4.79251974154043,52.2928328438476 4.79562779233468,52.2992587532787 4.79883582188611,52.3014211122583 4.80988375998948,52.3057761006804 4.81149988186989,52.3033955748928 4.82379289597091,52.2898064255075 4.81060079811017,52.2772197672861 4.7983056499258,52.263613528992 4.79469736599488,52.2606817589009</coordinates></Polygon></MultiGeometry>;52,25769678;4,755022705
Aalten;Gelderland;<MultiGeometry><Polygon><coordinates>6.63891586106867,51.9625470164657 6.63946374184548,51.9597704543403 6.6344719847274,51.9557819432031 6.62907135489813,51.9500920303557 6.63306845856013,51.947685151013 6.63448742057826,51.9446972510108 6.63347975113826,51.9373073842713 6.63415278786432,51.9352998917091 6.64355741752116,51.9300947086735 6.65129270347096,51.9285422851749 6.65365323419624,51.9302669559618 6.65897218168924,51.9290438039054 6.65825785590485,51.9240252511094 6.66312665442359,51.9197936874755 6.66076684262025,51.9183688427975 6.66294277024246,51.9157365842076 6.66873347247481,51.9138633936391 6.66205442197331,51.9111929804204 6.64894093437203,51.9072312299636 6.63771713735506,51.9044546752024 6.63417380587274,51.9010053814861 6.62769553097748,51.9008575253991 6.625310002111,51.9019418800431 6.60442279592958,51.8972828846321 6.58578002685905,51.8940819811944 6.569517476848,51.8883050573111 6.5561372474188,51.8816991058745 6.55242562594703,51.8861914218701 6.54415071619639,51.8846097974088 6.53981255909201,51.8808990843222 6.52934800276015,51.8769764781703 6.52449301266629,51.8741119093237 6.51572187762407,51.873532914385 6.51160716932047,51.8708849800723 6.5010607697135,51.8680001036219 6.5020520124665,51.8643289145224 6.498836753783,51.8616734770486 6.48734813519661,51.8588964958696 6.4824096259918,51.8568811240244 6.4742253908804,51.8556452609872 6.47250788650932,51.853823024373 6.46438380786929,51.8552872904904 6.46804532478568,51.8601254613692 6.46840219546745,51.8641762720927 6.47128556770657,51.8645259878989 6.47183488165664,51.8689625537009 6.47427801840759,51.8694296335484 6.48193366043154,51.8749661611909 6.4840128990803,51.8781308538746 6.47993913255631,51.8867066060538 6.47990047742505,51.8944068633426 6.47880113659725,51.8973127696765 6.47262696995657,51.9070653724285 6.47947922162268,51.9099333064349 6.48297067727538,51.9102074516406 6.48866376996372,51.9128655399682 6.4932459195652,51.9179357913733 6.4923844183285,51.9253420903954 6.49558001516822,51.9302876009211 6.50312758909101,51.9393131353094 6.5047806415437,51.9459843263347 6.51745722387404,51.9479072288142 6.51983232250791,51.9555626654488 6.53282906481251,51.9623534834067 6.52726949658175,51.9660235591989 6.54700329440444,51.9727161012829 6.55919955107274,51.9743665883973 6.56968370396836,51.9721579532585 6.58544126205522,51.9722946867321 6.59254123105056,51.9708414283458 6.59843322003963,51.9711432063777 6.61183109653717,51.9691814642798 6.62872093450738,51.9672814709758 6.63392847863695,51.9656695736993 6.63891586106867,51.9625470164657</coordinates></Polygon></MultiGeometry>;51,92174059;6,560587201
Achtkarspelen;Friesland;<MultiGeometry><Polygon><coordinates>6.23217311778447,53.2567474241222 6.23510074863948,53.2533548555415 6.2301128987685,53.2504217642322 6.23196582385242,53.2469318316959 6.21797830711197,53.241932142596 6.22497212602087,53.2385928510532 6.21554259206355,53.2369851666576 6.21817475512218,53.2316156537055 6.22453789230108,53.230157221235 6.22533952667799,53.2254553932512 6.2301095781981,53.2225464765481 6.22999007967025,53.2178386687283 6.22467077501055,53.2142725378093 6.22473690599441,53.2118752449939 6.21950398930353,53.2063753928601 6.2144771392122,53.2040599932029 6.20923375048991,53.1998270325208 6.2041146321182,53.199758486151 6.19954226527686,53.1981638818596 6.19943210153499,53.1932535941747 6.19551352128069,53.1916211411907 6.18813442334927,53.1827496758146 6.18137552221251,53.1705567370633 6.17725065327965,53.1667671583037 6.17675042887252,53.15950452441 6.15198652100909,53.1508327877357 6.14811832036443,53.1578274430961 6.12163291733796,53.1449934096951 6.11879156744724,53.1457405487281 6.11933855611592,53.1494199704065 6.10501304660298,53.1517994087647 6.11459349000425,53.1759776561814 6.10935432877698,53.1770572255787 6.10474736751953,53.1795960403565 6.10014682389193,53.1853906321554 6.08799502985354,53.1931603045612 6.08530431154923,53.1942231067017 6.08225366554757,53.1984290078782 6.08162177798427,53.2020016828004 6.078558287677,53.2067160241504 6.08398285915094,53.2084314105466 6.08030258143803,53.2132758871249 6.08628905056523,53.2150259949375 6.030400181205,53.2295343373667 6.02724424155834,53.2301325530653 6.02409450286952,53.2335915433746 6.01979074823363,53.2409140045866 6.0230942330835,53.2427914290159 6.02756521582849,53.2414148601538 6.04396570306819,53.2435024878945 6.0745150907294,53.2484482308535 6.10054244967525,53.2557049097164 6.11077415071723,53.2598546864692 6.11554789612875,53.2597462726087 6.12975487224005,53.2620546998386 6.14105841169753,53.2643829401946 6.1449781567217,53.2601648118166 6.14835884338195,53.2600007617964 6.15878062924143,53.2636837187388 6.16738025762602,53.2636513898476 6.17112937971493,53.2614925972126 6.18072106710854,53.2610496549413 6.19038447134645,53.2633776766625 6.18566965782462,53.2672730185046 6.18922000708864,53.2698902445896 6.19378997800005,53.2700365318904 6.20715971339861,53.2669109464682 6.2168048417128,53.2653508987907 6.21894740225966,53.2598726029992 6.22397138017261,53.2572401392604 6.23217311778447,53.2567474241222</coordinates></Polygon></MultiGeometry>;53,21666952;6,14313452
Alblasserdam;Zuid-Holland;<MultiGeometry><Polygon><coordinates>4.6831907404577,51.8484914535222 4.68039759426496,51.8444394234986 4.67260625748435,51.838650326372 4.67017307474045,51.8421492598932 4.65902573463059,51.8508367444467 4.65074550413475,51.8601520984884 4.64533532205469,51.8644787783496 4.6352610274003,51.8697111525701 4.62639112268947,51.8806577607957 4.62877473244736,51.8812121502212 4.63707564399242,51.8762944476841 4.64189197565423,51.8801216499852 4.66443883121705,51.8749483512736 4.67615341877302,51.8749014400427 4.68781502010984,51.8787176524498 4.70023977334211,51.8797098782173 4.69043900053453,51.866847047743 4.68671000836152,51.8664452509917 4.68125962033317,51.8589546121015 4.6831907404577,51.8484914535222</coordinates></Polygon></MultiGeometry>;51,86465403;4,66572897
Albrandswaard;Zuid-Holland;<MultiGeometry><Polygon><coordinates>4.48040268359356,51.8623275587841 4.48033984098562,51.8551021865967 4.49012524612116,51.8513154935985 4.4874063191574,51.848649721323 4.48970989053707,51.8467560352349 4.48909437184631,51.8353955687746 4.47896841129451,51.8342140528849 4.46437171190597,51.8317235073616 4.45297016943053,51.8318638517244 4.44698531206427,51.8327015583647 4.43248240352357,51.8370461437676 4.41417251317695,51.8427890029297 4.40390674684572,51.8430676252445 4.39382285179435,51.8421197941883 4.38366459196282,51.842118251804 4.38322873821043,51.8524021476724 4.38516229570008,51.8537592191913 4.38350485958606,51.857762650994 4.38622000735687,51.8662174248965 4.3903840669141,51.8705493744062 4.39337817380917,51.8719714693036 4.40718708539625,51.8727871903247 4.41251947683268,51.8716945338409 4.41814864970044,51.8723747388598 4.43653023274676,51.8685735477131 4.44102029294586,51.8659097400489 4.44433667313834,51.8663325501079 4.46219143607235,51.8624755566226 4.47186285470524,51.8616672348291 4.48040268359356,51.8623275587841</coordinates></Polygon></MultiGeometry>;51,85204293;4,435715057
Alkmaar;Noord-Holland;<MultiGeometry><Polygon><coordinates>4.80050953111757,52.660240922341 4.79842316227654,52.6533429932623 4.79181397329894,52.647366691028 4.785587281143,52.6391628449832 4.7917680096421,52.6385305807462 4.80871687755664,52.6339200068549 4.82368812453671,52.6338466966521 4.83022467713877,52.6326778627327 4.83449990781421,52.6375767961921 4.8356026422969,52.6426186369711 4.83854936197776,52.6461378249581 4.84282929014608,52.6458788991017 4.85152400662833,52.640594242401 4.86034604393764,52.6391843360698 4.86388205655803,52.6353595051516 4.87339946407773,52.6344464813812 4.88087879363871,52.6336530649624 4.88492493428314,52.6311639413485 4.88928751837237,52.6255406900585 4.88399223075356,52.613138556021 4.89879245015152,52.6132383879594 4.92325202941936,52.6112387478589 4.92692553559372,52.606697002439 4.92143997198399,52.6083132223753 4.91541542823474,52.6086506599761 4.89892265365537,52.6016883162949 4.8900105354209,52.5941882658347 4.88662195026876,52.5865365637644 4.8801126189792,52.580230133839 4.8745386605103,52.5770701136715 4.86860103260292,52.5759256351175 4.86590781102236,52.5739503665797 4.86310248301525,52.5689709197572 4.86293972759479,52.5650471412147 4.85865367715945,52.5594835273977 4.85384204845547,52.5567690662471 4.84841745804623,52.5501902129241 4.84392234087979,52.5465896191296 4.84238341798661,52.5435841078308 4.8355638280571,52.540731881043 4.83391045062601,52.5389603532163 4.82446177878406,52.542689310348 4.820986571206,52.5382463609784 4.81699305961199,52.5356482110794 4.82445139309059,52.5338345643247 4.8204464114729,52.5313059726925 4.81063307538246,52.529592482045 4.80548007900041,52.5257728040976 4.79756510834463,52.5239734419117 4.78986098541923,52.5192358888718 4.78247652279976,52.5195809622761 4.77784569110168,52.5317703408163 4.77773349817131,52.5337448796687 4.77788624713932,52.5441928902052 4.78162290998137,52.5571022406448 4.7719671710629,52.5598983681587 4.75293250413599,52.5626282275871 4.74508382743314,52.5668515310289 4.74830071772393,52.5725955402163 4.75131188640558,52.5822769964749 4.75647792486541,52.5915683441493 4.75213868931377,52.5918908910845 4.73746197370989,52.5938582962396 4.73772511412469,52.5979723403722 4.73334789882505,52.6075471907244 4.73945113833379,52.613868176133 4.738099125029,52.6153785095328 4.72885066164536,52.6197850557252 4.71458658730793,52.6247819010483 4.70979644676846,52.6287238303986 4.70886857938144,52.6353559103934 4.71003796085945,52.6424861220031 4.71420100475582,52.6428216249035 4.71281461808085,52.6462106245564 4.71760917957731,52.6466497675808 4.71687064451087,52.6495405263448 4.72529681479622,52.6518755766534 4.73064321435544,52.6587526453541 4.73111228476223,52.6614783593706 4.73903427121511,52.6629776602866 4.74260552484914,52.6611816108149 4.74880566614123,52.6657198843066 4.75241106080921,52.6714455520755 4.7477073413813,52.6768503179429 4.74174167170678,52.680806870934 4.75064719192801,52.6822596518426 4.7790258374307,52.6764839628317 4.77837409335277,52.6718973858367 4.77449036772123,52.6653428253103 4.77804210530189,52.6643177698691 4.77299804344966,52.6534306435813 4.77571104061717,52.6528633818287 4.77366944997164,52.6483544837058 4.80050953111757,52.660240922341</coordinates></Polygon></MultiGeometry>;52,60179152;4,803307612
Almelo;Overijssel;<MultiGeometry><Polygon><coordinates>6.69863537493513,52.3937410818892 6.69788172310043,52.3912740396859 6.70530281750337,52.3781318119535 6.71341551339872,52.3764973588161 6.71267584122245,52.3740465503154 6.71570725721441,52.3664450889842 6.71969345357305,52.3612889740163 6.72056327055735,52.3523291335625 6.70974097331296,52.3434345904899 6.7208457427277,52.3412075428007 6.7186848429211,52.3379927708732 6.71503894498767,52.3361845640484 6.70944704735597,52.3305998227128 6.70684125303894,52.3322587635872 6.69695393379591,52.329807277308 6.69494527902647,52.3268229054581 6.70701026380155,52.3210041542402 6.70589603545203,52.3179568617652 6.69486971240051,52.3149943340337 6.69071201480177,52.3125470193172 6.69094027908781,52.3083910705157 6.68477787823698,52.3066312192873 6.67144580953271,52.3003089253897 6.65807331623792,52.2958898057854 6.6575198661526,52.2948543106766 6.64746465908207,52.2937109952531 6.63670498866008,52.290738131975 6.63327845838284,52.2912588410609 6.62606633257407,52.2899739536731 6.63178241142289,52.301779915783 6.61874754109856,52.3061754956408 6.6167820956443,52.3091018108332 6.6111296440474,52.3132247820597 6.6047628499905,52.3122253411668 6.61902034553575,52.3261451446758 6.61655905864427,52.3291580463725 6.6080205073678,52.3329624489003 6.60176776860959,52.3372817033938 6.59770487862494,52.3428999916209 6.60467346009352,52.3448977503357 6.60821436322015,52.3490638894065 6.61130723691384,52.3552305570457 6.61427706265859,52.3564348718549 6.61551220624098,52.3612608117407 6.61341012677376,52.365104580376 6.60831360702147,52.3675371356806 6.60639863924347,52.3721620108671 6.59885127906828,52.3836583069735 6.60942920697642,52.3895253561518 6.61397946315397,52.3861194772827 6.61867224226945,52.3893408778478 6.62176325488659,52.3895453282048 6.63688590904397,52.3958012388012 6.64019964848242,52.3991227539435 6.64762608483109,52.3954536305604 6.65175177978079,52.398724528846 6.66416880238726,52.3895142993825 6.67189599945012,52.3888514042467 6.67611997693705,52.3961506725114 6.68415085860419,52.3910812302152 6.68761336141044,52.3932784773775 6.69863537493513,52.3937410818892</coordinates></Polygon></MultiGeometry>;52,34789062;6,65819562
Almere;Flevoland;<MultiGeometry><Polygon><coordinates>5.35077247428953,52.4002086818828 5.34816843284056,52.3970283245491 5.34010778711089,52.3959407897816 5.33293406821523,52.3927727634759 5.31351706478473,52.3857414160027 5.30124456929993,52.3819864395556 5.31668509277458,52.3684319572551 5.37854988048782,52.314702468201 5.37921111945121,52.3139948337979 5.35400632673845,52.3094072970477 5.34492351532811,52.3099390070537 5.3335048982689,52.3142737176934 5.31717240413581,52.3035647712549 5.31390345871108,52.3031007787353 5.31341282397023,52.3033733063411 5.31545438368215,52.3044087513757 5.30242561476638,52.3104019393572 5.29159378964446,52.3147610769328 5.27337136920856,52.3209699652695 5.24902136552686,52.3273818782915 5.22365606935618,52.3321711367562 5.21935356850989,52.3337039779989 5.21572400878636,52.3312937931153 5.21103665340675,52.333596238946 5.20828542242305,52.3325613679137 5.20476992628257,52.3355099802882 5.19773529039655,52.3364205961057 5.18642708859729,52.3357578246241 5.1665572235653,52.3317868223119 5.15777776678172,52.3293008421177 5.14948609624529,52.3291698949481 5.13882263470725,52.3255185272041 5.13832440573679,52.3259017057198 5.1437890388674,52.3298259661805 5.14373247967622,52.3329252879219 5.13688754063701,52.3370401379961 5.13215540468442,52.3381095113426 5.13462279112754,52.3410668009707 5.13423887704414,52.3475265172538 5.13175028685579,52.363789227779 5.12983602513965,52.3673461289189 5.12323160868833,52.3740351046148 5.12258005550824,52.3785093790917 5.12894192410457,52.3828866860314 5.15654320957562,52.393006806502 5.16160558860748,52.3998026130245 5.20825889910588,52.4164264521865 5.21696807980992,52.4164332466624 5.22847399690945,52.4206294792392 5.23262154437908,52.4253266047019 5.25842426198561,52.4354254842458 5.26847512719783,52.4270309344942 5.27933078473802,52.4221504982297 5.30668638056153,52.414284636168 5.33185365914266,52.4067390962559 5.33667902682432,52.4049946335004 5.34335731975616,52.4011524381074 5.35077247428953,52.4002086818828</coordinates></Polygon></MultiGeometry>;52,36714786;5,246464402
Alphen aan den Rijn;Zuid-Holland;<MultiGeometry><Polygon><coordinates>4.73885676757021,52.1065074383712 4.74022293129308,52.1046480913607 4.73487900921178,52.101890949646 4.70473186861531,52.0952408610766 4.70875820166934,52.0936438928581 4.71520163512493,52.0809674162685 4.71303433087363,52.0769295058723 4.70490509681371,52.0768364098974 4.69682924495771,52.0740031714569 4.69441127120467,52.0677673877201 4.68529674775075,52.0693947843733 4.68197359480143,52.0591040628346 4.67929846368168,52.0592158954118 4.6772470519614,52.0655205266623 4.66566008999241,52.0657239384165 4.65996779809492,52.0641043069326 4.6536594295885,52.0638707346654 4.63834840917759,52.0648050882767 4.63685096257519,52.0737371283598 4.62530724786655,52.0744472253732 4.62532044310129,52.0764432494699 4.6069068807503,52.0770497139206 4.60742717818777,52.0655265176386 4.56530310196297,52.0591199750139 4.56504302828798,52.0585693779913 4.55718031450848,52.0612393648424 4.55320988625644,52.063831481862 4.53369502335666,52.0730511299377 4.53604749317628,52.0769280719789 4.53055524558235,52.080510730878 4.53713473145142,52.0839459781072 4.53646382425133,52.1028335893606 4.53532283484446,52.1204324767596 4.54190537067362,52.1186602099921 4.54139362316105,52.1234807336285 4.54762060406084,52.1323100443196 4.54659107957045,52.1342629056392 4.55073311471773,52.138380285117 4.56012142917152,52.1319033320547 4.56570711550008,52.1349328449505 4.57046751188969,52.1428582344026 4.57148097628459,52.1531090271925 4.57261555273431,52.1522730606426 4.64260673465835,52.161952954391 4.67984116281382,52.1627454227009 4.6812094389352,52.1675042273396 4.69834760838017,52.1582253608908 4.70592934373065,52.1516819784785 4.70421629754096,52.1482413272512 4.7049010558628,52.1447367116374 4.72382116899802,52.156018662288 4.72681147597578,52.1589952103533 4.74183887765647,52.1626732212024 4.75902529092668,52.1351425176191 4.76006501471499,52.1309525767139 4.7531115858936,52.1193340690524 4.75177541124031,52.1189110006409 4.73885676757021,52.1065074383712</coordinates></Polygon></MultiGeometry>;52,11332171;4,640959774
